rank,zip_code,City,CountyName,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,rent_control
75,94707,Berkeley,Alameda County,55.95802919708029,0.142387944358578,0.0367078825347758,0.0546030562802832,1997.0,186579.0,0.1284388918367018,0.2523744911804613,1786395.6255835711,2.4321852747797745,7.5000613854498965,0.0909090909090909,-33.333333333333336,Strong (pre-1980)
76,95035,Milpitas,Santa Clara County,55.91240875912409,0.3934714221514074,0.0350124606773705,0.1276545354069629,2814.0,166931.0,0.2022871725443446,0.1664416986813415,1487703.7493013267,-2.967780172535117,15.349711983184577,0.1634615384615384,46.47887323943662,None / Costa-Hawkins only
77,94578,San Leandro,Alameda County,55.87591240875912,0.5993367935409458,0.0622837370242214,0.2507464712269272,1841.0,87120.0,0.2535812672176308,0.2936011546788549,789506.2897272162,-3.21881213932127,-0.15315491575090823,0.1111111111111111,-51.78571428571428,None / Costa-Hawkins only
78,94569,Port Costa,Contra Costa County,55.766423357664245,0.7076023391812866,0.0,0.0,-666666666.0,-666666666.0,12.0,0.0,658292.1412806599,-2.2519968939515134,-4.742335171682555,,,None / Costa-Hawkins only
79,94938,Bolinas,Marin County,55.68430656934307,0.3421052631578947,0.3201754385964912,0.1196013289036544,-666666666.0,111800.0,-71556.35055456172,0.0,1071949.7958308572,2.393263856810446,7.446618543415107,,,None / Costa-Hawkins only
80,95008,Campbell,Santa Clara County,55.65693430656934,0.4983434130949251,0.0696818301341046,0.2885939036381514,2455.0,139688.0,0.2108985739648359,0.2095821021528071,1945256.9266044032,1.5055210835615007,24.307094956155815,0.2769230769230769,18.181818181818187,None / Costa-Hawkins only
81,94019,Half Moon Bay,San Mateo County,55.63868613138686,0.2404470079307858,0.0913842826243691,0.1101568951279934,2026.0,149655.0,0.1624536433797734,0.1304347826086956,1587616.620943633,1.8641330961973956,9.703489741579553,0.1136363636363636,-15.384615384615385,None / Costa-Hawkins only
82,94606,Oakland,Alameda County,55.61131386861314,0.8049324496558756,0.1073795564618914,0.5705242562007251,1583.0,71442.0,0.2658940119257579,0.2533449449766448,612658.6397793625,-7.442586629229542,-15.790684384615428,0.119047619047619,-22.22222222222222,Strong (pre-1983)
83,94544,Hayward,Alameda County,55.60218978102189,0.4722727666580019,0.0414175548046096,0.2372493551876196,2116.0,103039.0,0.2464309630334145,0.2305293092376846,839519.6093694833,-6.806013554610657,-0.4339972839626838,0.1263157894736842,-8.653846153846157,Limited
84,94533,Fairfield,Solano County,54.981751824817515,0.4486212489862125,0.0374695863746958,0.2191604127579737,1666.0,84907.0,0.2354576183353551,0.2662930489017445,538303.3482887776,-2.8061451295390505,1.2179095292871978,0.1506024096385542,-1.7751479289940808,None / Costa-Hawkins only
85,95133,San Jose,Santa Clara County,54.97262773722629,0.4078045544992262,0.016803006853858,0.2205914329202,2117.0,126080.0,0.201491116751269,0.2024939007861209,1164669.9020564586,-4.921871690635471,6.9580681883308015,0.203125,100.0,"Moderate (pre-1979, 2+ units)"
86,95407,Santa Rosa,Sonoma County,54.872262773722625,0.4774084852197886,0.0153162812069229,0.2262030472167747,1642.0,81484.0,0.2418143439202788,0.2723772858517805,635493.5314355544,-2.129166130362037,0.5844354287031894,0.4090909090909091,-50.0,None / Costa-Hawkins only
87,94703,Berkeley,Alameda County,54.71715328467153,0.6148219210936563,0.1026501978654514,0.4176182707993475,2001.0,99901.0,0.2403579543748311,0.2757948117807685,1294407.971029347,-1.8906278159962042,-1.956300875786765,,-18.181818181818176,Strong (pre-1980)
88,95405,Santa Rosa,Sonoma County,54.68978102189781,0.4103002457527513,0.0267122555828614,0.1893016963263607,2075.0,111358.0,0.2236031537922735,0.1817708333333333,742246.1264583337,0.24297506785864176,1.9906312532468107,0.2666666666666666,22.44897959183674,None / Costa-Hawkins only
89,95134,San Jose,Santa Clara County,54.543795620437955,0.869916921731526,0.0838070252149832,0.1076519634211942,3096.0,182920.0,0.2031051825934834,0.1002764513696908,1097587.468343004,-5.242548407632263,6.958070096248115,,16.666666666666675,"Moderate (pre-1979, 2+ units)"
90,94403,San Mateo,San Mateo County,54.525547445255484,0.4722489766433903,0.0809053696123284,0.2725551347738917,3077.0,171213.0,0.2156611939513938,0.2277884002549394,1835098.0488647532,1.546486949916881,11.484541526684122,0.2028985507246377,7.8125,None / Costa-Hawkins only
